,sulphates,fixed acidity,volatile acidity,citric acid,quality
483,1.06,10.6,0.36,0.6,5
484,0.66,10.6,0.44,0.68,6
485,0.47,10.2,0.67,0.39,5
486,0.47,10.2,0.67,0.39,5
487,0.42,10.2,0.645,0.36,6
488,0.92,11.6,0.32,0.55,7
489,0.75,9.3,0.39,0.4,6
490,0.67,9.3,0.775,0.27,6
491,0.79,9.2,0.41,0.5,7
492,0.9,8.9,0.4,0.51,7
493,0.74,8.7,0.69,0.31,6
494,0.55,6.5,0.39,0.23,6
495,0.65,10.7,0.35,0.53,8
496,0.65,7.8,0.52,0.25,6
497,0.79,7.2,0.34,0.32,5
498,0.65,10.7,0.35,0.53,8
499,0.74,8.7,0.69,0.31,6
500,0.65,7.8,0.52,0.25,6
501,0.85,10.4,0.44,0.73,7
502,0.85,10.4,0.44,0.73,7
503,1.04,10.5,0.26,0.47,7
504,1.05,10.5,0.24,0.42,7
505,0.78,10.2,0.49,0.63,7
506,1.02,10.4,0.24,0.46,7
507,0.71,11.2,0.67,0.55,6
508,0.63,10.0,0.59,0.31,6
509,0.68,13.3,0.29,0.75,7
510,0.61,12.4,0.42,0.49,5
511,0.63,10.0,0.59,0.31,6
512,0.81,10.7,0.4,0.48,6
513,0.66,10.5,0.51,0.64,7
514,0.66,10.5,0.51,0.64,7
515,1.14,8.5,0.655,0.49,5
516,0.74,12.5,0.6,0.49,6
517,0.63,10.4,0.61,0.49,3
518,0.68,10.9,0.21,0.49,6
519,0.78,7.3,0.365,0.49,5
520,0.9,9.8,0.25,0.49,6
521,0.64,7.6,0.41,0.49,5
522,0.99,8.2,0.39,0.49,5
523,0.55,9.3,0.4,0.49,5
524,0.64,9.2,0.43,0.49,5
525,0.67,10.4,0.64,0.24,5
526,0.78,7.3,0.365,0.49,5
527,0.77,7.0,0.38,0.49,6
528,0.75,8.2,0.42,0.49,6
529,0.57,9.9,0.63,0.24,5
530,0.87,9.1,0.22,0.24,6
531,0.61,11.9,0.38,0.49,5
532,0.61,11.9,0.38,0.49,5
533,0.66,10.3,0.27,0.24,6
534,0.56,10.0,0.48,0.24,6
535,0.87,9.1,0.22,0.24,6
536,0.57,9.9,0.63,0.24,5
537,0.77,8.1,0.825,0.24,6
538,0.66,12.9,0.35,0.49,7
539,0.62,11.2,0.5,0.74,5
540,0.67,9.2,0.59,0.24,5
541,0.73,9.5,0.46,0.49,6
542,0.59,9.3,0.715,0.24,5
543,0.72,11.2,0.66,0.24,6
544,0.79,14.3,0.31,0.74,6
545,0.59,9.1,0.47,0.49,5
546,0.78,7.5,0.55,0.24,6
547,0.86,10.6,0.31,0.49,6
548,0.75,12.4,0.35,0.49,6
549,0.61,9.0,0.53,0.49,6
550,0.56,6.8,0.51,0.01,6
551,0.73,9.4,0.43,0.24,6
552,0.74,9.5,0.46,0.24,6
553,0.62,5.0,1.04,0.24,5
554,0.74,15.5,0.645,0.49,5
555,0.74,15.5,0.645,0.49,5
556,0.56,10.9,0.53,0.49,6
557,0.74,15.6,0.645,0.49,5
558,0.56,10.9,0.53,0.49,6
559,0.68,13.0,0.47,0.49,6
560,0.57,12.7,0.6,0.49,5
561,0.58,9.0,0.44,0.49,5
562,0.61,9.0,0.54,0.49,5
563,0.61,7.6,0.29,0.49,6
564,0.68,13.0,0.47,0.49,6
565,0.57,12.7,0.6,0.49,5
566,0.6,8.7,0.7,0.24,6
567,0.6,8.7,0.7,0.24,6
568,0.79,9.8,0.5,0.49,6
569,0.57,6.2,0.36,0.24,6
570,0.91,11.5,0.35,0.49,6
571,0.57,6.2,0.36,0.24,6
572,0.61,10.2,0.24,0.49,5
573,0.56,10.5,0.59,0.49,4
574,0.7,10.6,0.34,0.49,6
575,0.8,12.3,0.27,0.49,6
576,0.52,9.9,0.5,0.24,4
577,0.6,8.8,0.44,0.49,5
578,0.6,8.8,0.47,0.49,5
579,0.51,10.6,0.31,0.49,6
580,0.44,12.3,0.5,0.49,5
581,0.44,12.3,0.5,0.49,5
582,0.43,11.7,0.49,0.49,5
583,0.66,12.0,0.28,0.49,7
584,0.76,11.8,0.33,0.49,7
585,0.66,7.6,0.51,0.24,6
586,1.02,11.1,0.31,0.49,7
587,0.59,7.3,0.73,0.24,5
588,0.74,5.0,0.42,0.24,8
589,0.74,10.2,0.29,0.49,7
590,0.57,9.0,0.45,0.49,5
591,0.5,6.6,0.39,0.49,6
592,0.57,9.0,0.45,0.49,5
593,0.58,9.9,0.49,0.58,5
594,0.53,7.9,0.72,0.17,5
595,0.57,8.9,0.595,0.41,5
596,0.6,12.4,0.4,0.51,6
597,0.63,11.9,0.58,0.58,6
598,0.48,8.5,0.585,0.18,6
599,0.7,12.7,0.59,0.45,6
600,0.47,8.2,0.915,0.27,4
601,0.56,13.2,0.46,0.52,6
602,0.52,7.7,0.835,0.0,5
603,0.56,13.2,0.46,0.52,6
604,0.62,8.3,0.58,0.13,6
605,0.59,8.3,0.6,0.13,6
606,0.79,9.4,0.41,0.48,7
607,0.53,8.8,0.48,0.41,6
608,0.64,10.1,0.65,0.37,6
609,0.52,6.3,0.36,0.19,6
610,0.54,8.8,0.24,0.54,5
611,0.54,13.2,0.38,0.55,5
612,0.6,7.5,0.64,0.0,6
613,0.74,8.2,0.39,0.38,5
614,1.36,9.2,0.755,0.18,6
615,0.57,9.6,0.6,0.5,5
616,0.57,9.6,0.6,0.5,5
617,0.93,11.5,0.31,0.51,6
618,0.7,11.4,0.46,0.5,5
619,0.8,11.3,0.37,0.41,5
620,0.61,8.3,0.54,0.24,5
621,0.62,8.2,0.56,0.23,5
622,0.55,10.0,0.58,0.22,5
623,0.96,7.9,0.51,0.25,6
624,0.72,6.8,0.69,0.0,5
625,0.72,6.8,0.69,0.0,5
626,0.49,8.8,0.6,0.29,5
627,0.49,8.8,0.6,0.29,5
628,0.6,8.7,0.54,0.26,6
629,0.61,7.6,0.685,0.23,5
630,0.6,8.7,0.54,0.26,6
631,0.63,10.4,0.28,0.54,5
632,0.57,7.6,0.41,0.14,6
633,0.64,10.1,0.935,0.22,4
634,0.58,7.9,0.35,0.21,5
635,0.55,8.7,0.84,0.0,5
636,0.53,9.6,0.88,0.28,5
637,0.53,9.5,0.885,0.27,5
638,0.65,7.7,0.915,0.12,7
639,1.36,8.9,0.29,0.35,6
640,0.62,9.9,0.54,0.45,5
641,0.63,9.5,0.59,0.44,5
642,0.62,9.9,0.54,0.45,5
643,0.63,9.5,0.59,0.44,5
644,0.62,9.9,0.54,0.45,5
645,0.69,7.8,0.64,0.1,7
646,0.63,7.3,0.67,0.05,5
647,0.58,8.3,0.845,0.01,4
648,0.67,8.7,0.48,0.3,7
649,0.57,6.7,0.42,0.27,6
650,0.5,10.7,0.43,0.39,5
651,0.67,9.8,0.88,0.25,5
652,0.84,15.9,0.36,0.65,5
653,0.54,9.4,0.33,0.59,6
654,0.46,8.6,0.47,0.47,5
655,0.61,9.7,0.55,0.17,5
656,0.5,10.7,0.43,0.39,5
657,0.68,12.0,0.5,0.59,7
658,0.81,7.2,0.52,0.07,6
659,0.57,7.1,0.84,0.02,4
660,0.81,7.2,0.52,0.07,6
661,0.64,7.5,0.42,0.31,5
662,0.7,7.2,0.57,0.06,6
663,0.79,10.1,0.28,0.46,6
664,0.66,12.1,0.4,0.52,5
665,0.56,9.4,0.59,0.14,5
666,0.6,8.3,0.49,0.36,6
667,0.66,11.3,0.34,0.45,6
668,0.57,10.0,0.73,0.43,5
669,0.66,11.3,0.34,0.45,6
670,0.58,6.9,0.4,0.24,5
671,0.52,8.2,0.73,0.21,5
672,0.53,9.8,1.24,0.34,5
673,0.52,8.2,0.73,0.21,5
674,0.67,10.8,0.4,0.41,6
675,0.65,9.3,0.41,0.39,5
676,0.67,10.8,0.4,0.41,6
677,0.48,8.6,0.8,0.11,5
678,0.53,8.3,0.78,0.1,5
679,0.54,10.8,0.26,0.45,5
680,0.49,13.3,0.43,0.58,5
681,0.49,8.0,0.45,0.23,6
682,0.54,8.5,0.46,0.31,5
683,0.56,8.1,0.78,0.23,5
684,0.48,9.8,0.98,0.32,5
685,0.56,8.1,0.78,0.23,5
686,0.6,7.1,0.65,0.18,5
687,0.59,9.1,0.64,0.23,5
688,0.47,7.7,0.66,0.04,5
689,1.05,8.1,0.38,0.48,5
690,0.54,7.4,1.185,0.0,3
691,0.54,9.2,0.92,0.24,5
692,1.17,8.6,0.49,0.51,5
693,0.62,9.0,0.48,0.32,5
694,0.61,9.0,0.47,0.31,5
695,0.62,5.1,0.47,0.02,6
696,0.67,7.0,0.65,0.02,6
